ID_Venta,Fecha,Producto,Categoria,Canal,Precio_Venta,Costo_Repo,Comision_Plat,Costo_Envio
1,2026-04-23 09:00:00,Pre-Entreno Explosive,Suplementos,Instagram/Directo,21296.89,15000,0.0,0
2,2026-04-05 15:00:00,Creatina Micronizada 300g,Creatinas,ML_Premium,30934.06,21000,9280.22,3500
3,2026-01-12 20:00:00,Shaker Pro,Accesorios,ML_Clasico,4954.82,3500,743.22,0
4,2026-03-02 05:00:00,Glutamina 300g,Suplementos,Instagram/Directo,20481.99,14000,0.0,0
5,2026-01-08 22:00:00,Creatina Micronizada 300g,Creatinas,ML_Premium,31050.11,21000,9315.03,3500
6,2026-02-16 17:00:00,Proteína Isolate 1kg,Proteínas,Instagram/Directo,43934.59,32000,0.0,3500
7,2026-02-08 07:00:00,Creatina Monohidrato 300g,Creatinas,Instagram/Directo,26920.1,18000,0.0,0
8,2026-02-28 08:00:00,Glutamina 300g,Suplementos,Instagram/Directo,19110.02,14000,0.0,0
10,2026-04-11 18:00:00,Proteína Whey 1kg,Proteínas,ML_Clasico,37306.32,25000,5595.95,3500
11,2026-02-09 23:00:00,Cinto de Cuero Gym,Accesorios,ML_Clasico,20698.33,15000,3104.75,0
12,2026-02-20 12:00:00,Aminoácidos BCAA 200g,Suplementos,Instagram/Directo,17499.68,12000,0.0,0
13,2026-02-25 07:00:00,Creatina Micronizada 300g,Creatinas,ML_Clasico,29623.4,21000,4443.51,0
14,2026-01-28 10:00:00,Creatina Monohidrato 300g,Creatinas,ML_Premium,25367.6,18000,7610.28,0
15,2026-02-14 23:00:00,Proteína Isolate 1kg,Proteínas,Instagram/Directo,46971.28,32000,0.0,3500
16,2026-03-17 01:00:00,Creatina Monohidrato 300g,Creatinas,ML_Premium,24983.95,18000,7495.18,0
17,2026-03-03 10:00:00,Aminoácidos BCAA 200g,Suplementos,ML_Premium,17127.93,12000,5138.38,0
18,2026-05-01 12:00:00,Creatina Monohidrato 300g,Creatinas,ML_Premium,25858.68,18000,7757.6,0
19,2026-01-09 22:00:00,Creatina Micronizada 300g,Creatinas,ML_Premium,29318.06,21000,8795.42,0
20,2026-04-30 21:00:00,Creatina Monohidrato 500g,Creatinas,ML_Premium,37587.75,26000,11276.33,3500
21,2026-03-22 05:00:00,Shaker Pro,Accesorios,Instagram/Directo,5138.78,3500,0.0,0
22,2026-02-10 14:00:00,Creatina Micronizada 300g,Creatinas,Instagram/Directo,31429.85,21000,0.0,3500
23,2026-01-14 00:00:00,Creatina Micronizada 300g,Creatinas,ML_Premium,30860.33,21000,9258.1,3500
24,2026-04-16 22:00:00,Glutamina 300g,Suplementos,ML_Premium,20127.59,14000,6038.28,0
25,2026-02-10 14:00:00,Cinto de Cuero Gym,Accesorios,ML_Premium,20919.98,15000,6276.0,0
26,2026-02-11 03:00:00,Pre-Entreno Explosive,Suplementos,Instagram/Directo,20573.77,15000,0.0,0
27,2026-04-30 05:00:00,Aminoácidos BCAA 200g,Suplementos,ML_Clasico,17016.11,12000,2552.42,0
28,2026-04-02 06:00:00,Proteína Whey 1kg,Proteínas,ML_Premium,34758.54,25000,10427.56,3500
29,2026-01-22 14:00:00,Shaker Pro,Accesorios,ML_Clasico,4739.4,3500,710.91,0
30,2026-01-29 05:00:00,Proteína Vegana 900g,Proteínas,ML_Premium,41045.4,28000,12313.62,3500
31,2026-04-16 08:00:00,Proteína Isolate 1kg,Proteínas,ML_Clasico,43576.04,32000,6536.41,3500
32,2026-02-28 06:00:00,Proteína Vegana 900g,Proteínas,ML_Clasico,41536.9,28000,6230.53,3500
33,2026-03-07 18:00:00,Cinto de Cuero Gym,Accesorios,ML_Clasico,20764.92,15000,3114.74,0
34,2026-03-21 06:00:00,Straps de Agarre,Accesorios,ML_Clasico,6678.16,4500,1001.72,0
35,2026-02-19 18:00:00,Creatina Monohidrato 500g,Creatinas,Instagram/Directo,37969.88,26000,0.0,3500
36,2026-04-12 20:00:00,Pre-Entreno Explosive,Suplementos,ML_Premium,20491.89,15000,6147.57,0
37,2026-01-28 08:00:00,Proteína Isolate 1kg,Proteínas,ML_Clasico,43648.0,32000,6547.2,3500
38,2026-01-15 22:00:00,Glutamina 300g,Suplementos,Instagram/Directo,18932.55,14000,0.0,0
39,2026-04-07 08:00:00,Pre-Entreno Explosive,Suplementos,ML_Clasico,21435.17,15000,3215.28,0
40,2026-01-19 05:00:00,Glutamina 300g,Suplementos,Instagram/Directo,19821.44,14000,0.0,0
41,2026-02-10 23:00:00,Proteína Whey 1kg,Proteínas,ML_Clasico,36889.87,25000,5533.48,3500
42,2026-02-17 16:00:00,Shaker Pro,Accesorios,ML_Clasico,5158.62,3500,773.79,0
43,2026-02-13 07:00:00,Creatina Micronizada 300g,Creatinas,ML_Clasico,30023.44,21000,4503.52,3500
44,2026-02-16 11:00:00,Creatina Micronizada 300g,Creatinas,ML_Clasico,29173.77,21000,4376.07,0
46,2026-01-31 17:00:00,Creatina Monohidrato 500g,Creatinas,ML_Clasico,37767.08,26000,5665.06,3500
47,2026-03-25 15:00:00,Straps de Agarre,Accesorios,Instagram/Directo,6745.42,4500,0.0,0
48,2026-01-13 12:00:00,Straps de Agarre,Accesorios,ML_Clasico,6620.07,4500,993.01,0
49,2026-02-21 17:00:00,Shaker Pro,Accesorios,ML_Clasico,5145.86,3500,771.88,0
50,2026-04-11 10:00:00,Creatina Monohidrato 500g,Creatinas,ML_Premium,37191.5,26000,11157.45,3500
51,2026-04-30 19:00:00,Shaker Pro,Accesorios,ML_Clasico,5029.1,3500,754.37,0
52,2026-01-04 13:00:00,Creatina Monohidrato 300g,Creatinas,ML_Clasico,26834.49,18000,4025.17,0
53,2026-04-25 12:00:00,Cinto de Cuero Gym,Accesorios,Instagram/Directo,20253.39,15000,0.0,0
54,2026-03-05 22:00:00,Creatina Monohidrato 500g,Creatinas,ML_Clasico,36228.38,26000,5434.26,3500
55,2026-03-17 22:00:00,Pre-Entreno Explosive,Suplementos,Instagram/Directo,22312.81,15000,0.0,0
56,2026-01-11 21:00:00,Straps de Agarre,Accesorios,Instagram/Directo,6529.75,4500,0.0,0
57,2026-04-07 06:00:00,Creatina Micronizada 300g,Creatinas,ML_Premium,29292.91,21000,8787.87,0
58,2026-01-05 09:00:00,Shaker Pro,Accesorios,ML_Clasico,5214.36,3500,782.15,0
59,2026-02-15 20:00:00,Creatina Micronizada 300g,Creatinas,ML_Clasico,30870.39,21000,4630.56,3500
60,2026-02-01 06:00:00,Aminoácidos BCAA 200g,Suplementos,ML_Clasico,16485.19,12000,2472.78,0
61,2026-02-10 21:00:00,Shaker Pro,Accesorios,ML_Clasico,4988.96,3500,748.34,0
62,2026-01-06 17:00:00,Creatina Micronizada 300g,Creatinas,Instagram/Directo,29768.94,21000,0.0,0
63,2026-04-15 12:00:00,Cinto de Cuero Gym,Accesorios,Instagram/Directo,21096.41,15000,0.0,0
64,2026-01-20 23:00:00,Cinto de Cuero Gym,Accesorios,ML_Premium,21234.38,15000,6370.32,0
65,2026-03-05 12:00:00,Aminoácidos BCAA 200g,Suplementos,ML_Premium,17470.79,12000,5241.24,0
66,2026-01-04 13:00:00,Cinto de Cuero Gym,Accesorios,ML_Premium,20900.61,15000,6270.18,0
68,2026-03-30 00:00:00,Straps de Agarre,Accesorios,Instagram/Directo,6337.66,4500,0.0,0
69,2026-04-07 19:00:00,Cinto de Cuero Gym,Accesorios,ML_Clasico,20316.63,15000,3047.49,0
70,2026-04-09 01:00:00,Creatina Monohidrato 500g,Creatinas,Instagram/Directo,37390.21,26000,0.0,3500
71,2026-02-16 12:00:00,Creatina Monohidrato 500g,Creatinas,Instagram/Directo,36559.2,26000,0.0,3500
72,2026-04-03 18:00:00,Straps de Agarre,Accesorios,ML_Clasico,6697.87,4500,1004.68,0
73,2026-02-06 22:00:00,Cinto de Cuero Gym,Accesorios,Instagram/Directo,22088.3,15000,0.0,0
74,2026-04-03 08:00:00,Creatina Monohidrato 500g,Creatinas,ML_Clasico,37291.67,26000,5593.75,3500
75,2026-04-26 04:00:00,Creatina Monohidrato 500g,Creatinas,Instagram/Directo,38535.03,26000,0.0,3500
76,2026-01-20 16:00:00,Shaker Pro,Accesorios,ML_Clasico,5222.75,3500,783.41,0
77,2026-01-30 04:00:00,Cinto de Cuero Gym,Accesorios,ML_Premium,21251.78,15000,6375.53,0
78,2026-01-01 11:00:00,Proteína Whey 1kg,Proteínas,ML_Premium,36681.28,25000,11004.38,3500
79,2026-04-08 01:00:00,Creatina Micronizada 300g,Creatinas,ML_Clasico,31054.38,21000,4658.16,3500
80,2026-02-22 01:00:00,Proteína Whey 1kg,Proteínas,Instagram/Directo,36737.76,25000,0.0,3500
81,2026-04-06 04:00:00,Proteína Whey 1kg,Proteínas,Instagram/Directo,34337.14,25000,0.0,3500
82,2026-04-17 09:00:00,Glutamina 300g,Suplementos,ML_Premium,19559.3,14000,5867.79,0
83,2026-03-27 14:00:00,Aminoácidos BCAA 200g,Suplementos,Instagram/Directo,17996.52,12000,0.0,0
84,2026-02-15 00:00:00,Proteína Whey 1kg,Proteínas,ML_Premium,34399.5,25000,10319.85,3500
85,2026-01-09 17:00:00,Creatina Micronizada 300g,Creatinas,ML_Clasico,30083.11,21000,4512.47,3500
86,2026-03-05 08:00:00,Cinto de Cuero Gym,Accesorios,ML_Premium,22309.81,15000,6692.94,0
87,2026-03-01 06:00:00,Pre-Entreno Explosive,Suplementos,ML_Clasico,22391.0,15000,3358.65,0
88,2026-01-05 02:00:00,Cinto de Cuero Gym,Accesorios,ML_Premium,20971.52,15000,6291.46,0
89,2026-04-20 21:00:00,Creatina Monohidrato 500g,Creatinas,Instagram/Directo,37626.35,26000,0.0,3500
90,2026-03-18 19:00:00,Creatina Monohidrato 300g,Creatinas,ML_Clasico,25683.91,18000,3852.59,0
91,2026-02-19 05:00:00,Proteína Vegana 900g,Proteínas,ML_Clasico,40226.23,28000,6033.93,3500
92,2026-01-29 21:00:00,Glutamina 300g,Suplementos,ML_Premium,19898.16,14000,5969.45,0
93,2026-03-09 15:00:00,Proteína Whey 1kg,Proteínas,ML_Clasico,36018.24,25000,5402.74,3500
94,2026-03-28 02:00:00,Creatina Micronizada 300g,Creatinas,ML_Clasico,28416.48,21000,4262.47,0
95,2026-04-15 10:00:00,Straps de Agarre,Accesorios,ML_Clasico,6531.82,4500,979.77,0
96,2026-03-14 16:00:00,Proteína Whey 1kg,Proteínas,ML_Premium,36015.89,25000,10804.77,3500
97,2026-03-21 21:00:00,Straps de Agarre,Accesorios,ML_Clasico,6281.49,4500,942.22,0
98,2026-04-14 03:00:00,Straps de Agarre,Accesorios,Instagram/Directo,6370.54,4500,0.0,0
99,2026-02-13 14:00:00,Proteína Vegana 900g,Proteínas,ML_Premium,40666.45,28000,12199.94,3500
100,2026-03-03 14:00:00,Creatina Monohidrato 300g,Creatinas,Instagram/Directo,25710.16,18000,0.0,0
101,2026-02-05 09:00:00,Pre-Entreno Explosive,Suplementos,ML_Clasico,20701.44,15000,3105.22,0
102,2026-04-27 21:00:00,Proteína Isolate 1kg,Proteínas,ML_Premium,46751.44,32000,14025.43,3500
